logg,Teff,Z,a,b
4.0,11500.0,-2.5,0.1674,0.2771
4.5,11500.0,-2.5,0.1658,0.2777
5.0,11500.0,-2.5,0.1643,0.2794
2.5,12000.0,-2.5,0.1758,0.2883
3.0,12000.0,-2.5,0.1676,0.2804
3.5,12000.0,-2.5,0.1634,0.2758
4.0,12000.0,-2.5,0.161,0.274
4.5,12000.0,-2.5,0.1592,0.2743
5.0,12000.0,-2.5,0.1574,0.276
2.5,12500.0,-2.5,0.1711,0.2883
3.0,12500.0,-2.5,0.1621,0.279
3.5,12500.0,-2.5,0.1578,0.2733
4.0,12500.0,-2.5,0.1556,0.2706
4.5,12500.0,-2.5,0.1537,0.2706
5.0,12500.0,-2.5,0.152,0.272
2.5,13000.0,-2.5,0.167,0.2887
3.0,13000.0,-2.5,0.1571,0.278
3.5,13000.0,-2.5,0.153,0.2707
4.0,13000.0,-2.5,0.1503,0.2677
4.5,13000.0,-2.5,0.1485,0.2671
5.0,13000.0,-2.5,0.1467,0.2685
2.0,14000.0,-2.5,0.1903,0.3019
2.5,14000.0,-2.5,0.1598,0.2909
3.0,14000.0,-2.5,0.1491,0.2765
3.5,14000.0,-2.5,0.1445,0.2667
4.0,14000.0,-2.5,0.1419,0.2617
4.5,14000.0,-2.5,0.1401,0.2601
5.0,14000.0,-2.5,0.1384,0.2609
2.5,15000.0,-2.5,0.1538,0.2946
3.0,15000.0,-2.5,0.142,0.2767
3.5,15000.0,-2.5,0.1377,0.2636
4.0,15000.0,-2.5,0.1352,0.2566
4.5,15000.0,-2.5,0.1332,0.2539
5.0,15000.0,-2.5,0.1317,0.2536
2.5,16000.0,-2.5,0.149,0.299
3.0,16000.0,-2.5,0.1355,0.2782
3.5,16000.0,-2.5,0.1312,0.2622
4.0,16000.0,-2.5,0.1292,0.2527
4.5,16000.0,-2.5,0.1272,0.2488
5.0,16000.0,-2.5,0.1258,0.2476
2.5,17000.0,-2.5,0.1454,0.3039
3.0,17000.0,-2.5,0.129,0.2812
3.5,17000.0,-2.5,0.1249,0.2621
4.0,17000.0,-2.5,0.1234,0.2503
4.5,17000.0,-2.5,0.1221,0.2445
5.0,17000.0,-2.5,0.1206,0.2426
2.5,18000.0,-2.5,0.1444,0.3084
3.0,18000.0,-2.5,0.1231,0.2845
3.5,18000.0,-2.5,0.1186,0.263
4.0,18000.0,-2.5,0.1173,0.2493
4.5,18000.0,-2.5,0.1166,0.2418
5.0,18000.0,-2.5,0.1156,0.2386
2.5,19000.0,-2.5,0.1452,0.3134
3.0,19000.0,-2.5,0.1181,0.2881
3.5,19000.0,-2.5,0.1123,0.2644
4.0,19000.0,-2.5,0.1116,0.2485
4.5,19000.0,-2.5,0.1111,0.2399
5.0,19000.0,-2.5,0.1107,0.2357
3.0,20000.0,-2.5,0.1139,0.2926
3.5,20000.0,-2.5,0.1069,0.2658
4.0,20000.0,-2.5,0.1059,0.2482
4.5,20000.0,-2.5,0.1057,0.2384
5.0,20000.0,-2.5,0.1055,0.2336
3.0,21000.0,-2.5,0.1106,0.2978
3.5,21000.0,-2.5,0.1018,0.2683
4.0,21000.0,-2.5,0.1007,0.2481
4.5,21000.0,-2.5,0.1006,0.237
5.0,21000.0,-2.5,0.1005,0.2318
3.0,22000.0,-2.5,0.1083,0.3036
3.5,22000.0,-2.5,0.097,0.272
4.0,22000.0,-2.5,0.0956,0.2492
4.5,22000.0,-2.5,0.0958,0.2362
5.0,22000.0,-2.5,0.0958,0.23
3.0,23000.0,-2.5,0.1072,0.3096
3.5,23000.0,-2.5,0.0927,0.2766
4.0,23000.0,-2.5,0.0909,0.2514
4.5,23000.0,-2.5,0.0911,0.2364
5.0,23000.0,-2.5,0.0912,0.2291
3.0,24000.0,-2.5,0.1074,0.3158
3.5,24000.0,-2.5,0.0886,0.2819
4.0,24000.0,-2.5,0.086,0.2549
4.5,24000.0,-2.5,0.0864,0.2379
5.0,24000.0,-2.5,0.0867,0.2292
3.0,25000.0,-2.5,0.1086,0.3227
3.5,25000.0,-2.5,0.0848,0.2878
4.0,25000.0,-2.5,0.0814,0.2589
4.5,25000.0,-2.5,0.0817,0.2404
5.0,25000.0,-2.5,0.0823,0.2302
3.0,26000.0,-2.5,0.1063,0.3326
3.5,26000.0,-2.5,0.0818,0.2935
4.0,26000.0,-2.5,0.077,0.2631
4.5,26000.0,-2.5,0.0773,0.2432
5.0,26000.0,-2.5,0.0782,0.2317
3.5,27000.0,-2.5,0.0786,0.2996
4.0,27000.0,-2.5,0.073,0.2672
4.5,27000.0,-2.5,0.0732,0.2458
5.0,27000.0,-2.5,0.0738,0.2337
3.5,28000.0,-2.5,0.0735,0.3062
4.0,28000.0,-2.5,0.0693,0.2709
4.5,28000.0,-2.5,0.0692,0.2482
5.0,28000.0,-2.5,0.0699,0.2351
3.5,29000.0,-2.5,0.0668,0.3114
4.0,29000.0,-2.5,0.0652,0.2737
4.5,29000.0,-2.5,0.0658,0.2493
5.0,29000.0,-2.5,0.0666,0.2352
3.5,30000.0,-2.5,0.0587,0.3163
4.0,30000.0,-2.5,0.0603,0.2752
4.5,30000.0,-2.5,0.0623,0.2491
5.0,30000.0,-2.5,0.0639,0.2337
3.5,31000.0,-2.5,0.0488,0.3238
4.0,31000.0,-2.5,0.0546,0.2754
4.5,31000.0,-2.5,0.0583,0.2476
5.0,31000.0,-2.5,0.0613,0.2303
4.0,32000.0,-2.5,0.0484,0.2755
4.5,32000.0,-2.5,0.0547,0.244
5.0,32000.0,-2.5,0.0584,0.2257
4.0,33000.0,-2.5,0.0405,0.2775
4.5,33000.0,-2.5,0.0506,0.2401
5.0,33000.0,-2.5,0.0558,0.2195
4.0,34000.0,-2.5,0.0305,0.2814
4.5,34000.0,-2.5,0.0452,0.2375
5.0,34000.0,-2.5,0.0527,0.2134
4.0,35000.0,-2.5,0.0206,0.2839
4.5,35000.0,-2.5,0.0379,0.2366
5.0,35000.0,-2.5,0.049,0.2079
4.5,37500.0,-2.5,0.019,0.2312
5.0,37500.0,-2.5,0.034,0.197
4.5,40000.0,-2.5,0.0086,0.2254
5.0,40000.0,-2.5,0.0218,0.1854
5.0,42500.0,-2.5,0.0154,0.1798
5.0,45000.0,-2.5,0.0123,0.1792
5.0,47500.0,-2.5,0.0107,0.1805
5.0,50000.0,-2.5,0.0098,0.1821
0.0,3500.0,-2.0,0.8181,-0.1106
0.5,3500.0,-2.0,0.8524,-0.1309
1.0,3500.0,-2.0,0.8324,-0.105
1.5,3500.0,-2.0,0.6536,0.0555
2.0,3500.0,-2.0,0.3982,0.2686
2.5,3500.0,-2.0,0.2498,0.3798
3.0,3500.0,-2.0,0.1819,0.4406
3.5,3500.0,-2.0,0.1599,0.4408
4.0,3500.0,-2.0,0.1765,0.4166
4.5,3500.0,-2.0,0.1767,0.4862
5.0,3500.0,-2.0,0.2114,0.4513
0.0,3750.0,-2.0,0.7684,-0.0739
0.5,3750.0,-2.0,0.7862,-0.0775
1.0,3750.0,-2.0,0.7924,-0.0698
1.5,3750.0,-2.0,0.7865,-0.0515
2.0,3750.0,-2.0,0.7046,0.0213
2.5,3750.0,-2.0,0.4992,0.1915
3.0,3750.0,-2.0,0.3014,0.3388
3.5,3750.0,-2.0,0.2058,0.3793
4.0,3750.0,-2.0,0.1627,0.416
4.5,3750.0,-2.0,0.1392,0.4312
5.0,3750.0,-2.0,0.1493,0.408
0.0,4000.0,-2.0,0.7021,-0.0187
0.5,4000.0,-2.0,0.699,-0.0016
1.0,4000.0,-2.0,0.6917,0.0186
1.5,4000.0,-2.0,0.6812,0.0412
2.0,4000.0,-2.0,0.6744,0.058
2.5,4000.0,-2.0,0.638,0.0951
3.0,4000.0,-2.0,0.52,0.186
3.5,4000.0,-2.0,0.3482,0.3138
4.0,4000.0,-2.0,0.2256,0.3942
4.5,4000.0,-2.0,0.1735,0.3888
5.0,4000.0,-2.0,0.1341,0.4535
0.0,4250.0,-2.0,0.6332,0.034
0.5,4250.0,-2.0,0.6151,0.0634
1.0,4250.0,-2.0,0.5946,0.0965
1.5,4250.0,-2.0,0.5756,0.1275
2.0,4250.0,-2.0,0.5642,0.1497
2.5,4250.0,-2.0,0.5558,0.1656
3.0,4250.0,-2.0,0.5303,0.1913
3.5,4250.0,-2.0,0.4559,0.2486
4.0,4250.0,-2.0,0.3403,0.3275
4.5,4250.0,-2.0,0.2341,0.3959
5.0,4250.0,-2.0,0.1684,0.4312
0.0,4500.0,-2.0,0.5879,0.0628
0.5,4500.0,-2.0,0.5595,0.0972
1.0,4500.0,-2.0,0.5246,0.1399
1.5,4500.0,-2.0,0.4951,0.1795
2.0,4500.0,-2.0,0.4731,0.2122
2.5,4500.0,-2.0,0.4607,0.2331
3.0,4500.0,-2.0,0.4506,0.2489
3.5,4500.0,-2.0,0.43,0.2701
4.0,4500.0,-2.0,0.38,0.304
4.5,4500.0,-2.0,0.2956,0.367
5.0,4500.0,-2.0,0.2211,0.4003
0.0,4750.0,-2.0,0.5511,0.0912
0.5,4750.0,-2.0,0.5215,0.1218
1.0,4750.0,-2.0,0.4857,0.1594
1.5,4750.0,-2.0,0.4492,0.1999
2.0,4750.0,-2.0,0.4167,0.2384
2.5,4750.0,-2.0,0.3939,0.2688
3.0,4750.0,-2.0,0.3795,0.2891
3.5,4750.0,-2.0,0.365,0.3069
4.0,4750.0,-2.0,0.3423,0.3301
4.5,4750.0,-2.0,0.2995,0.358
5.0,4750.0,-2.0,0.2415,0.3948
0.0,5000.0,-2.0,0.5155,0.1216
0.5,5000.0,-2.0,0.4912,0.1451
1.0,5000.0,-2.0,0.4605,0.1751
1.5,5000.0,-2.0,0.426,0.2097
2.0,5000.0,-2.0,0.3919,0.2448
2.5,5000.0,-2.0,0.366,0.2727
3.0,5000.0,-2.0,0.3456,0.2952
3.5,5000.0,-2.0,0.3289,0.3129
4.0,5000.0,-2.0,0.3079,0.3329
4.5,5000.0,-2.0,0.2798,0.3515
5.0,5000.0,-2.0,0.2413,0.374
0.0,5250.0,-2.0,0.4777,0.1528
0.5,5250.0,-2.0,0.4626,0.1677
1.0,5250.0,-2.0,0.4386,0.1909
1.5,5250.0,-2.0,0.4107,0.2179
2.0,5250.0,-2.0,0.3817,0.2458
2.5,5250.0,-2.0,0.3553,0.2717
3.0,5250.0,-2.0,0.3333,0.293
3.5,5250.0,-2.0,0.3162,0.3086
4.0,5250.0,-2.0,0.2969,0.3246
4.5,5250.0,-2.0,0.2815,0.339
5.0,5250.0,-2.0,0.241,0.3642
0.0,5500.0,-2.0,0.4362,0.1868
0.5,5500.0,-2.0,0.4298,0.1932
1.0,5500.0,-2.0,0.4151,0.2084
1.5,5500.0,-2.0,0.395,0.2271
2.0,5500.0,-2.0,0.3725,0.2481
2.5,5500.0,-2.0,0.3494,0.27
3.0,5500.0,-2.0,0.3302,0.2885
3.5,5500.0,-2.0,0.3099,0.3071
4.0,5500.0,-2.0,0.2929,0.3201
4.5,5500.0,-2.0,0.271,0.3351
5.0,5500.0,-2.0,0.2436,0.353
0.0,5750.0,-2.0,0.5139,0.1147
0.5,5750.0,-2.0,0.4143,0.2022
1.0,5750.0,-2.0,0.3872,0.2286
1.5,5750.0,-2.0,0.3771,0.2382
2.0,5750.0,-2.0,0.3604,0.2534
2.5,5750.0,-2.0,0.3441,0.2686
3.0,5750.0,-2.0,0.3259,0.2866
3.5,5750.0,-2.0,0.3083,0.3017
4.0,5750.0,-2.0,0.3005,0.3066
4.5,5750.0,-2.0,0.2764,0.3247
5.0,5750.0,-2.0,0.252,0.3405
0.0,6000.0,-2.0,0.5214,0.1122
0.5,6000.0,-2.0,0.4921,0.1321
1.0,6000.0,-2.0,0.3796,0.228
1.5,6000.0,-2.0,0.3531,0.2548
2.0,6000.0,-2.0,0.3456,0.2612
2.5,6000.0,-2.0,0.3349,0.2704
3.0,6000.0,-2.0,0.3248,0.28
3.5,6000.0,-2.0,0.3131,0.29
4.0,6000.0,-2.0,0.2968,0.3041
4.5,6000.0,-2.0,0.286,0.3102
5.0,6000.0,-2.0,0.2594,0.3297
0.5,6250.0,-2.0,0.4932,0.1365
1.0,6250.0,-2.0,0.4537,0.1636
1.5,6250.0,-2.0,0.3528,0.2469
2.0,6250.0,-2.0,0.327,0.2721
2.5,6250.0,-2.0,0.3235,0.2748
3.0,6250.0,-2.0,0.3158,0.2812
3.5,6250.0,-2.0,0.3065,0.2902
4.0,6250.0,-2.0,0.296,0.2982
4.5,6250.0,-2.0,0.2859,0.3052
5.0,6250.0,-2.0,0.2671,0.3178
0.5,6500.0,-2.0,0.4892,0.1431
1.0,6500.0,-2.0,0.4642,0.1601
1.5,6500.0,-2.0,0.4286,0.1783
2.0,6500.0,-2.0,0.3212,0.2655
2.5,6500.0,-2.0,0.3026,0.2868
3.0,6500.0,-2.0,0.302,0.2868
3.5,6500.0,-2.0,0.3002,0.288
4.0,6500.0,-2.0,0.2946,0.2915
4.5,6500.0,-2.0,0.2856,0.2992
5.0,6500.0,-2.0,0.2714,0.3089
0.5,6750.0,-2.0,0.4664,0.1634
1.0,6750.0,-2.0,0.4595,0.1666
1.5,6750.0,-2.0,0.4326,0.1834
2.0,6750.0,-2.0,0.3848,0.211
2.5,6750.0,-2.0,0.2998,0.279
3.0,6750.0,-2.0,0.2855,0.2966
3.5,6750.0,-2.0,0.2884,0.2921
4.0,6750.0,-2.0,0.287,0.292
4.5,6750.0,-2.0,0.2823,0.2947
5.0,6750.0,-2.0,0.2714,0.3031
0.5,7000.0,-2.0,0.4303,0.1951
1.0,7000.0,-2.0,0.434,0.1878
1.5,7000.0,-2.0,0.4287,0.1882
2.0,7000.0,-2.0,0.4011,0.2041
2.5,7000.0,-2.0,0.3535,0.231
3.0,7000.0,-2.0,0.2752,0.297
3.5,7000.0,-2.0,0.2727,0.3008
4.0,7000.0,-2.0,0.2733,0.2988
4.5,7000.0,-2.0,0.2742,0.297
5.0,7000.0,-2.0,0.2683,0.3001
0.5,7250.0,-2.0,0.3926,0.2252
1.0,7250.0,-2.0,0.3926,0.2223
1.5,7250.0,-2.0,0.399,0.2116
2.0,7250.0,-2.0,0.3958,0.2098
2.5,7250.0,-2.0,0.3654,0.2277
3.0,7250.0,-2.0,0.3105,0.2613
3.5,7250.0,-2.0,0.2528,0.3103
4.0,7250.0,-2.0,0.2549,0.3098
4.5,7250.0,-2.0,0.2585,0.3056
5.0,7250.0,-2.0,0.2578,0.3044
0.5,7500.0,-2.0,0.3631,0.2438
1.0,7500.0,-2.0,0.3586,0.2465
1.5,7500.0,-2.0,0.3618,0.2398
2.0,7500.0,-2.0,0.3709,0.2265
2.5,7500.0,-2.0,0.3681,0.2251
3.0,7500.0,-2.0,0.3333,0.2471
3.5,7500.0,-2.0,0.2697,0.2915
4.0,7500.0,-2.0,0.2414,0.3154
4.5,7500.0,-2.0,0.2445,0.3122
5.0,7500.0,-2.0,0.2462,0.3092
1.0,7750.0,-2.0,0.3313,0.2625
1.5,7750.0,-2.0,0.3286,0.2617
2.0,7750.0,-2.0,0.3347,0.252
2.5,7750.0,-2.0,0.3451,0.2383
3.0,7750.0,-2.0,0.3389,0.2413
3.5,7750.0,-2.0,0.296,0.2704
4.0,7750.0,-2.0,0.2349,0.3144
4.5,7750.0,-2.0,0.2316,0.3178
5.0,7750.0,-2.0,0.2335,0.3142
1.0,8000.0,-2.0,0.3116,0.2707
1.5,8000.0,-2.0,0.3009,0.277
2.0,8000.0,-2.0,0.3033,0.2712
2.5,8000.0,-2.0,0.3114,0.2604
3.0,8000.0,-2.0,0.3235,0.2465
3.5,8000.0,-2.0,0.3102,0.2571
4.0,8000.0,-2.0,0.2588,0.2937
4.5,8000.0,-2.0,0.2131,0.3249
5.0,8000.0,-2.0,0.2179,0.3225
1.5,8250.0,-2.0,0.2825,0.2839
2.0,8250.0,-2.0,0.2771,0.2846
2.5,8250.0,-2.0,0.2815,0.2775
3.0,8250.0,-2.0,0.2918,0.2658
3.5,8250.0,-2.0,0.304,0.253
4.0,8250.0,-2.0,0.2805,0.2742
4.5,8250.0,-2.0,0.2241,0.3152
5.0,8250.0,-2.0,0.1978,0.3308
1.5,8500.0,-2.0,0.2707,0.2855
2.0,8500.0,-2.0,0.2593,0.2901
2.5,8500.0,-2.0,0.2588,0.2871
3.0,8500.0,-2.0,0.2656,0.2793
3.5,8500.0,-2.0,0.277,0.268
4.0,8500.0,-2.0,0.2849,0.2607
4.5,8500.0,-2.0,0.2481,0.2932
5.0,8500.0,-2.0,0.199,0.3293
2.0,8750.0,-2.0,0.2475,0.291
2.5,8750.0,-2.0,0.2424,0.2908
3.0,8750.0,-2.0,0.2447,0.2871
3.5,8750.0,-2.0,0.2528,0.2795
4.0,8750.0,-2.0,0.2639,0.2695
4.5,8750.0,-2.0,0.2623,0.2727
5.0,8750.0,-2.0,0.2154,0.313
2.0,9000.0,-2.0,0.2417,0.2884
2.5,9000.0,-2.0,0.2334,0.2889
3.0,9000.0,-2.0,0.2325,0.2869
3.5,9000.0,-2.0,0.2374,0.2824
4.0,9000.0,-2.0,0.2465,0.2751
4.5,9000.0,-2.0,0.2584,0.2645
5.0,9000.0,-2.0,0.272,0.2513
2.0,9250.0,-2.0,0.2355,0.288
2.5,9250.0,-2.0,0.2248,0.2885
3.0,9250.0,-2.0,0.2213,0.2872
3.5,9250.0,-2.0,0.2234,0.2843
4.0,9250.0,-2.0,0.2286,0.281
4.5,9250.0,-2.0,0.2381,0.2738
5.0,9250.0,-2.0,0.2504,0.2627
2.0,9500.0,-2.0,0.2304,0.2878
2.5,9500.0,-2.0,0.2181,0.288
3.0,9500.0,-2.0,0.213,0.2865
3.5,9500.0,-2.0,0.2125,0.2848
4.0,9500.0,-2.0,0.2152,0.2831
4.5,9500.0,-2.0,0.2218,0.2791
5.0,9500.0,-2.0,0.2312,0.272
2.0,9750.0,-2.0,0.2257,0.2881
2.5,9750.0,-2.0,0.2127,0.2874
3.0,9750.0,-2.0,0.2062,0.2859
3.5,9750.0,-2.0,0.2044,0.2844
4.0,9750.0,-2.0,0.2048,0.2837
4.5,9750.0,-2.0,0.2086,0.282
5.0,9750.0,-2.0,0.2154,0.2779
2.0,10000.0,-2.0,0.2209,0.289
2.5,10000.0,-2.0,0.2072,0.2875
3.0,10000.0,-2.0,0.2004,0.2853
3.5,10000.0,-2.0,0.1972,0.284
4.0,10000.0,-2.0,0.1971,0.2831
4.5,10000.0,-2.0,0.1988,0.2826
5.0,10000.0,-2.0,0.2032,0.2806
2.0,10500.0,-2.0,0.2124,0.2909
2.5,10500.0,-2.0,0.1973,0.2879
3.0,10500.0,-2.0,0.19,0.2845
3.5,10500.0,-2.0,0.1862,0.2825
4.0,10500.0,-2.0,0.1848,0.2816
4.5,10500.0,-2.0,0.1842,0.282
5.0,10500.0,-2.0,0.1855,0.2818
2.5,11000.0,-2.0,0.1882,0.2887
3.0,11000.0,-2.0,0.1809,0.2836
3.5,11000.0,-2.0,0.1772,0.2806
4.0,11000.0,-2.0,0.1754,0.2794
4.5,11000.0,-2.0,0.1738,0.28
5.0,11000.0,-2.0,0.1731,0.2811
2.5,11500.0,-2.0,0.181,0.2887
3.0,11500.0,-2.0,0.1735,0.282
3.5,11500.0,-2.0,0.1697,0.2782
4.0,11500.0,-2.0,0.1674,0.2768
4.5,11500.0,-2.0,0.1657,0.2772
5.0,11500.0,-2.0,0.1645,0.2784
2.5,12000.0,-2.0,0.1753,0.2882
3.0,12000.0,-2.0,0.1669,0.2805
3.5,12000.0,-2.0,0.1631,0.2756
4.0,12000.0,-2.0,0.1606,0.2739
4.5,12000.0,-2.0,0.1591,0.2738
5.0,12000.0,-2.0,0.1575,0.2753
2.5,12500.0,-2.0,0.1701,0.2884
3.0,12500.0,-2.0,0.1612,0.279
3.5,12500.0,-2.0,0.1574,0.2728
4.0,12500.0,-2.0,0.1546,0.2708
4.5,12500.0,-2.0,0.1533,0.2702
5.0,12500.0,-2.0,0.1516,0.2717
2.5,13000.0,-2.0,0.1657,0.289
3.0,13000.0,-2.0,0.1563,0.2776
3.5,13000.0,-2.0,0.1522,0.2703
4.0,13000.0,-2.0,0.1497,0.2672
4.5,13000.0,-2.0,0.1481,0.2666
5.0,13000.0,-2.0,0.1466,0.2678
2.0,14000.0,-2.0,0.1894,0.3023
2.5,14000.0,-2.0,0.1587,0.291
3.0,14000.0,-2.0,0.148,0.2761
3.5,14000.0,-2.0,0.1438,0.2657
4.0,14000.0,-2.0,0.1414,0.2606
4.5,14000.0,-2.0,0.1395,0.2592
5.0,14000.0,-2.0,0.1381,0.2598
2.5,15000.0,-2.0,0.1532,0.2941
3.0,15000.0,-2.0,0.1413,0.2758
3.5,15000.0,-2.0,0.1369,0.2624
4.0,15000.0,-2.0,0.1345,0.2552
4.5,15000.0,-2.0,0.1329,0.2522
5.0,15000.0,-2.0,0.1315,0.252
2.5,16000.0,-2.0,0.1491,0.2977
3.0,16000.0,-2.0,0.1351,0.2769
3.5,16000.0,-2.0,0.131,0.2603
4.0,16000.0,-2.0,0.1291,0.2505
4.5,16000.0,-2.0,0.1278,0.2459
5.0,16000.0,-2.0,0.1264,0.2448
2.5,17000.0,-2.0,0.1457,0.3026
3.0,17000.0,-2.0,0.1293,0.2792
3.5,17000.0,-2.0,0.1251,0.2597
4.0,17000.0,-2.0,0.1236,0.2477
4.5,17000.0,-2.0,0.1226,0.2415
5.0,17000.0,-2.0,0.1212,0.2396
2.5,18000.0,-2.0,0.1442,0.3078
3.0,18000.0,-2.0,0.1234,0.2827
3.5,18000.0,-2.0,0.1191,0.2604
4.0,18000.0,-2.0,0.1178,0.2465
4.5,18000.0,-2.0,0.1171,0.2389
5.0,18000.0,-2.0,0.1166,0.2353
2.5,19000.0,-2.0,0.1449,0.3133
3.0,19000.0,-2.0,0.1184,0.2864
3.5,19000.0,-2.0,0.113,0.2617
4.0,19000.0,-2.0,0.1123,0.2456
4.5,19000.0,-2.0,0.1118,0.2369
5.0,19000.0,-2.0,0.1114,0.2328
3.0,20000.0,-2.0,0.1138,0.2915
3.5,20000.0,-2.0,0.1073,0.2637
4.0,20000.0,-2.0,0.1067,0.2454
4.5,20000.0,-2.0,0.1065,0.2355
5.0,20000.0,-2.0,0.1061,0.2309
3.0,21000.0,-2.0,0.11,0.2974
3.5,21000.0,-2.0,0.1017,0.2669
4.0,21000.0,-2.0,0.1013,0.2457
4.5,21000.0,-2.0,0.1014,0.2343
5.0,21000.0,-2.0,0.1011,0.2293
3.0,22000.0,-2.0,0.107,0.3037
3.5,22000.0,-2.0,0.0969,0.2707
4.0,22000.0,-2.0,0.096,0.2472
4.5,22000.0,-2.0,0.0968,0.2335
5.0,22000.0,-2.0,0.0965,0.2277
3.0,23000.0,-2.0,0.1056,0.3097
3.5,23000.0,-2.0,0.092,0.2758
4.0,23000.0,-2.0,0.0907,0.2501
4.5,23000.0,-2.0,0.0915,0.2345
5.0,23000.0,-2.0,0.092,0.2269
3.0,24000.0,-2.0,0.1056,0.3159
3.5,24000.0,-2.0,0.0876,0.2812
4.0,24000.0,-2.0,0.0858,0.2535
4.5,24000.0,-2.0,0.0865,0.2365
5.0,24000.0,-2.0,0.0876,0.2271
3.0,25000.0,-2.0,0.1069,0.3227
3.5,25000.0,-2.0,0.0837,0.2869
4.0,25000.0,-2.0,0.0808,0.2577
4.5,25000.0,-2.0,0.0816,0.2391
5.0,25000.0,-2.0,0.0829,0.2285
3.0,26000.0,-2.0,0.1051,0.3326
3.5,26000.0,-2.0,0.0806,0.2926
4.0,26000.0,-2.0,0.0762,0.262
4.5,26000.0,-2.0,0.0769,0.2421
5.0,26000.0,-2.0,0.078,0.2307
3.5,27000.0,-2.0,0.0778,0.2983
4.0,27000.0,-2.0,0.0721,0.266
4.5,27000.0,-2.0,0.0724,0.2448
5.0,27000.0,-2.0,0.0738,0.2324
3.5,28000.0,-2.0,0.0736,0.3045
4.0,28000.0,-2.0,0.0691,0.2689
4.5,28000.0,-2.0,0.0685,0.247
5.0,28000.0,-2.0,0.0702,0.2333
3.5,29000.0,-2.0,0.0666,0.311
4.0,29000.0,-2.0,0.0651,0.272
4.5,29000.0,-2.0,0.0658,0.2474
5.0,29000.0,-2.0,0.067,0.2332
4.0,30000.0,-2.0,0.0607,0.2736
4.5,30000.0,-2.0,0.0627,0.2471
5.0,30000.0,-2.0,0.0636,0.2323
4.0,31000.0,-2.0,0.0549,0.2747
4.5,31000.0,-2.0,0.0588,0.2459
5.0,31000.0,-2.0,0.0615,0.2287
4.0,32000.0,-2.0,0.0485,0.2756
4.5,32000.0,-2.0,0.0555,0.2427
5.0,32000.0,-2.0,0.0587,0.2245
4.5,33000.0,-2.0,0.051,0.2397
5.0,33000.0,-2.0,0.0565,0.2184
4.5,34000.0,-2.0,0.0454,0.2378
5.0,34000.0,-2.0,0.0531,0.2131
4.5,35000.0,-2.0,0.0382,0.2371
5.0,35000.0,-2.0,0.049,0.2083
4.5,37500.0,-2.0,0.0189,0.2328
5.0,37500.0,-2.0,0.034,0.1982
4.5,40000.0,-2.0,0.0085,0.227
5.0,40000.0,-2.0,0.0216,0.1868
5.0,42500.0,-2.0,0.0151,0.1813
5.0,45000.0,-2.0,0.0127,0.1799
5.0,47500.0,-2.0,0.0106,0.1815
5.0,50000.0,-2.0,0.0093,0.1833
0.0,3500.0,-1.5,0.8658,-0.1271
0.5,3500.0,-1.5,0.8904,-0.1375
1.0,3500.0,-1.5,0.8947,-0.1314
1.5,3500.0,-1.5,0.8119,-0.0532
2.0,3500.0,-1.5,0.5574,0.1738
2.5,3500.0,-1.5,0.3245,0.3771
3.0,3500.0,-1.5,0.2107,0.4666
3.5,3500.0,-1.5,0.1655,0.4969
4.0,3500.0,-1.5,0.1584,0.4967
4.5,3500.0,-1.5,0.1707,0.4916
5.0,3500.0,-1.5,0.1955,0.4719
0.0,3750.0,-1.5,0.8129,-0.0926
0.5,3750.0,-1.5,0.8246,-0.0912
1.0,3750.0,-1.5,0.8283,-0.083
1.5,3750.0,-1.5,0.8214,-0.0654
2.0,3750.0,-1.5,0.7951,-0.0366
2.5,3750.0,-1.5,0.6442,0.0883
3.0,3750.0,-1.5,0.4001,0.285
3.5,3750.0,-1.5,0.2365,0.4137
4.0,3750.0,-1.5,0.1704,0.4486
4.5,3750.0,-1.5,0.1352,0.5077
5.0,3750.0,-1.5,0.1378,0.5064
0.0,4000.0,-1.5,0.7439,-0.0367
0.5,4000.0,-1.5,0.7456,-0.0257
1.0,4000.0,-1.5,0.7462,-0.0147
1.5,4000.0,-1.5,0.7404,0.0005
2.0,4000.0,-1.5,0.7311,0.0163
2.5,4000.0,-1.5,0.7185,0.0325
3.0,4000.0,-1.5,0.6526,0.0837
3.5,4000.0,-1.5,0.475,0.2217
4.0,4000.0,-1.5,0.298,0.3501
4.5,4000.0,-1.5,0.193,0.425
5.0,4000.0,-1.5,0.1488,0.453
0.0,4250.0,-1.5,0.6666,0.0232
0.5,4250.0,-1.5,0.6712,0.033
1.0,4250.0,-1.5,0.6541,0.0611
1.5,4250.0,-1.5,0.6377,0.087
2.0,4250.0,-1.5,0.6348,0.0966
2.5,4250.0,-1.5,0.6331,0.1025
3.0,4250.0,-1.5,0.6273,0.1103
3.5,4250.0,-1.5,0.5949,0.1375
4.0,4250.0,-1.5,0.4841,0.2185
4.5,4250.0,-1.5,0.3348,0.3262
5.0,4250.0,-1.5,0.2206,0.4016
0.0,4500.0,-1.5,0.6014,0.0662
0.5,4500.0,-1.5,0.5809,0.0974
1.0,4500.0,-1.5,0.5616,0.1278
1.5,4500.0,-1.5,0.545,0.1551
2.0,4500.0,-1.5,0.5386,0.1704
2.5,4500.0,-1.5,0.5378,0.1771
3.0,4500.0,-1.5,0.5374,0.1813
3.5,4500.0,-1.5,0.5327,0.1876
4.0,4500.0,-1.5,0.5098,0.2075
